location,country_code,latitude,longitude,confirmed,dead,recovered,updated
"Jasper County, Mississippi",us,32.0810429,-89.1705998,212,6,None,2020-06-24 03:30:27.070589+00:00
Xing UNITA,cn,46.6814342,126.1025899,1,0,1,2020-06-24 03:32:45.041788+00:00
Tunápolis,br,-26.9717546,-53.6392616,5,0,None,2020-06-13 00:20:37.700029+00:00
Vlissingen,nl,51.4536672,3.5709125,9,None,None,2020-06-15 13:33:34.825200+00:00
Dormentes,br,-8.456223999999999,-40.5533995,31,0,None,2020-06-13 00:19:56.735977+00:00
Capela de Santana,br,-29.6822203,-51.3186675,1,0,None,2020-06-13 00:19:49.723973+00:00
Patos,br,-7.0192238,-37.2750691,866,36,None,2020-06-13 00:20:19.357445+00:00
Guaraciaba,br,-26.5993308,-53.5152796,1,0,None,2020-06-13 00:20:00.501068+00:00
Venray,nl,51.52705779999999,5.975332,37,None,None,2020-06-15 13:33:34.772396+00:00
Porto Nacional,br,-10.703223,-48.4084415,99,2,None,2020-06-13 00:20:22.897639+00:00
Mansidão,br,-10.7203864,-44.0363793,26,0,None,2020-06-13 00:20:11.293922+00:00
"Barrow County, Georgia",us,34.0142667,-83.6986568,429,25,None,2020-06-24 03:30:27.070589+00:00
Santa Carmem,br,-11.9754548,-55.2787135,4,0,None,2020-06-13 00:20:27.358555+00:00
Biljurashi,sa,19.8648875,41.5812154,53,0,20,2020-06-24 03:33:09.431264+00:00
Maxaranguape,br,-5.410194499999999,-35.3114894,14,1,None,2020-06-13 00:20:12.839622+00:00
"Asotin County, Washington",us,46.1460123,-117.2085208,20,2,None,2020-06-24 03:30:27.070589+00:00
Araci,br,-11.3393448,-38.9586018,47,1,None,2020-06-13 00:19:42.458681+00:00
Berkelland,nl,52.11350359999999,6.5203603,13,None,None,2020-06-15 13:33:30.418745+00:00
Caieiras,br,-23.3618065,-46.7390879,426,40,None,2020-06-13 00:19:48.241173+00:00
Dessau-Roßlau,de,51.84282779999999,12.2303935,66,2,None,2020-06-23 00:00:00+00:00
Jalisco,mx,20.6595382,-103.3494376,4495,404,3031,2020-06-24 03:32:12.368743+00:00
Ibipeba,br,-11.6435262,-42.010549,5,0,None,2020-06-13 00:20:01.482657+00:00
viken,no,60.0389059,9.725372,2377,None,None,2020-06-24 03:32:14.499967+00:00
Olho d'Água das Cunhãs,br,-4.1345534,-45.116711,267,3,None,2020-06-13 00:20:17.328946+00:00
"Johnson County, Nebraska",us,40.3808026,-96.3226072,6,0,None,2020-06-24 03:30:27.070589+00:00
"Unassigned County, Idaho",us,44.0682019,-114.7420408,2,0,0,2020-06-21 05:01:42.689413+00:00
"Mercer County, Missouri",us,40.3977043,-93.5755526,5,0,None,2020-06-24 03:30:27.070589+00:00
Itapemirim,br,-20.9829904,-40.9990597,285,15,None,2020-06-13 00:20:04.388202+00:00
Tver Oblast,ru,57.0021654,33.9853142,1804,37,1294,2020-06-04 12:50:14.879259+00:00
Vargem,br,-22.8875356,-46.4128895,5,0,None,2020-06-13 00:20:39.042153+00:00
